Short Description,regex,Attempt Regex,ChatGPT Output
Odd number of 1s,0*10*(10*10*)*,0*((1)*1)*1(0|1)*,"positive example: [""01"", ""0011"", ""000111"", ""0110"", ""001110""], negative example: [""0"", ""00"", ""000"", ""1"", ""10"", ""100""]"
even number of 1's,(0*10*10*)*|0*,0*(10*1)*0*(10*1*)*,"positive example: [ ""0101"", ""001001"", ""000"", ""1010"", ""010010"" ], negative example: [ ""11"", ""1011"", ""0102"", ""00110"", ""1100"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aa+,"positive example: [abaa, baaaa, aabaa, bbaaa, aabaaa], negative example: [a, b, aa, bb, aba, bab, aab, bba, aaba, baba]"
Every b followed by two or more a's,(a|baa)*,(a*|b*aa)*,"positive example: ["""", ""a"", ""aa"", ""aaa"", ""b"", ""baa"", ""aaabaa"", ""bbaa"", ""aaaabbaa""], negative example: [""ab"", ""aba"", ""aab"", ""ba"", ""bba"", ""aaba"", ""abaa""]"
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|(aa)*|(bb)*,"positive example: [aa, bb, aaaa, bbbb, ab, ba, abab, baba, aabb, bbaa], negative example: [a, b, aba, bab, aab, bba, aaaab, bbbba]"
contains 'bab',(a|b)*(bab)(a|b)*,((a|b)*bab(a|b)*)*,"positive example: [bab, abab, babab, aabab, babbab, bababab, ababab, aababab],  
negative example: [a, b, aa, bb, aba, bba, abba, baba]"
non isolated 'b',(a|(b*bb))*,(a*|b+)*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb, aaaa, aaab, aaba, aabb, abaa, abab, abba, abbb, baaa, baab, baba, babb, bbaa, bbab, bbba, bbbb], negative example: [c, ac, bc, abc, aac, bbc, ca, cb, cba, cab, cbb, cbaa, cabb, cbba, cbbb]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(b|ba))*,"positive example: [ab, aaab, bba, aabba, babab], negative example: [baa, a, bbb, aba, aab]"
non isolated 'b',(a|(b*bb))*,(a|b)*b*(a|b)*,"positive example: [ab, b, aab, bba, abab, bbb, aabb], negative example: [aa, aba, bab, aaa, baba, abba, baaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*0+)*|(1*0*1+)*,"positive example: [""010"", ""110"", ""1010"", ""001100"", ""111000111""],  
negative example: [""011"", ""1001"", ""000111000"", ""10101"", ""010101""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b){1,}aaa","positive example: [aaa, baaa, aaaaa, baaaaa], negative example: [aa, ba, abaa, bbaa]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#(a|b)*#/)*,"positive example: [""##"", ""#a#"", ""#b#"", ""#ab#"", ""#ba#"", ""#aab#"", ""#bba#"", ""####"", ""#a##b#"", ""#ab##ba#""],  
negative example: [""#"", ""a"", ""b"", ""ab"", ""ba"", ""a#b"", ""#a"", ""#b"", ""#ab#a"", ""#ba#b""]"
even prefix,(ab|ba)*,((ab)|(ba))*(ab|ba|aa|bb)*,"positive example: [ab, ba, abab, baba, abba, baab, aabb, bbaa, ababab, babaab],  
negative example: [a, b, aaab, bbba, abbb, baaa, abbba, baaab, aabbb, bbaaa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0*1*0*)*0*,"positive example: [""0"", ""01"", ""0010"", ""000"", ""01010""], negative example: [""1"", ""10"", ""101"", ""110"", ""01101""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*[0-1]*,"positive example: [000, 111, 01, 10, 0011, 1100], negative example: [2, 22, 012, 102, 120, 0012]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*b((a)|(bb))*,"positive example: [ab, bba, abba, bbb, aabba], negative example: [a, aa, aba, baba, bbba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(11*00*)*)|(1*(00*11*)*),"positive example: [""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""011"", ""100"", ""0011"", ""1100"", ""000111"", ""111000"", ""001100"", ""110011""],  
negative example: [""01"", ""10"", ""010"", ""101"", ""0010"", ""1101"", ""0101"", ""1010"", ""0110"", ""1001""]"
Every b followed by two or more a's,(a|baa)*,a*(baa*)*,"positive example: [""a"", ""aa"", ""ba"", ""baa"", ""baaa"", ""aba"", ""aaba"", ""aabaa""],  
negative example: [""b"", ""ab"", ""bb"", ""bab"", ""abab"", ""baab"", ""aab"", ""aabb""]"
non isolated 'b',(a|(b*bb))*,(a|ab|ba|bb*)*,"positive example: [a, ab, ba, b, aa, aba, bba, bbb, abab, baaa], negative example: [c, ac, bc, abc, aab, bca, bcc, abac, bbaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1*(0+1+0+)*1*)(0*(1+0+1+)*0*))*|1*|0*,"positive example: [""1101010"", ""1010101"", ""000"", ""111"", ""1011001"", ""0101010"", ""0"", ""1"", ""1010"", ""0101""],  
negative example: [""2"", ""a"", ""1102"", ""101a"", ""abc"", ""120"", ""01a0"", ""10b1"", ""0012"", ""110a""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a?))*,"positive example: [""aba"", ""baab"", ""aabba"", ""bba"", ""abababa""], negative example: [""acb"", ""bca"", ""aaa"", ""bbb"", ""abac""]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(ba*b)*ba*)+,"positive example: [ab, aba, abab, aabaa, aababaa], negative example: [b, aa, aaba, ba, baba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|(1+(0*1*)*1+)|(0+(1*0*)*0+))*,"positive example: [""1"", ""0"", ""10"", ""01"", ""110"", ""001"", ""1010"", ""0101"", ""111"", ""000"", ""11001"", ""00110"", ""101010"", ""010101"", ""1111"", ""0000"", ""110011"", ""001100"", ""1010101"", ""0101010""],  
negative example: [""2"", ""a"", ""11a"", ""00b"", ""1a0"", ""0b1"", ""101a"", ""01b0"", ""110a1"", ""001b0"", ""1010a"", ""0101b"", ""111a"", ""000b"", ""11001a"", ""00110b"", ""101010a"", ""010101b"", ""1111a"", ""0000b""]"
even prefix,(ab|ba)*,((aa)*|(bb)*)(a|b)*,"positive example: [aa, bb, aaa, bbb, aab, bba, a, b, aabbb, bbaaa], negative example: [abab, baba, abba, baab, aba, bab, ab, ba]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0(0*1*)*0)*,"positive example: [0, 00, 010, 00100, 0001000], negative example: [1, 01, 10, 0110, 10101]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa+|b)+,"positive example: [baa, baaa, abbaa, aabbaaa, bbaa], negative example: [ab, aab, b, aa, bb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)*(a|b))aaa(a)*,"positive example: [baaaa, aabaaa, bbbaaaaa, abaaa, aaaaa], negative example: [aaa, baa, aabaa, bbba, aabba]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb|ab|ba)*,"positive example: [abab, baba, aabbaa, bbaabb, abba, baab, aabb, bbaa, ababab, babaab], negative example: [a, b, aaab, bbba, abbb, baaa, aabbb, bbaaa, ababba, babaabb]"
At least one a followed by one b,a+b,(a*b)+,"positive example: [ab, aab, aaab, b, aaaab], negative example: [a, ba, aba, aaba, bba]"
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)*,"positive example: [0, 1, 01, 10, 000, 111, 0101], negative example: [2, 00a, 1b, 0112, abc]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*(a*b*)*,"positive example: [""b"", ""ab"", ""ba"", ""aab"", ""aba"", ""bba"", ""aaba"", ""abab"", ""baba"", ""aaabaa"", ""ababab""],  
negative example: [""a"", ""aa"", ""aaa"", ""bab"", ""aabb"", ""abba"", ""baab"", ""bbaa"", ""aabba"", ""abbba""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)(a|b)*,"positive example: [baa, abaa, baaa, bbaa, aabaa, baaab], negative example: [a, b, ab, ba, aba, bab, aab, abb]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b*a*)+,"positive example: [a, b, aa, ab, ba, aaa, baa, aba, bba, aab, abba, baaa], negative example: [c, ac, bc, abc, bca, aac, bbc, abac, bbaaac]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)*aa(a+),"positive example: [aaa, bbaaa, aabaa, aaaaa, bbaaaaa], negative example: [a, b, ab, ba, aba]"
non isolated 'b',(a|(b*bb))*,(a|b)*bb(a|bb)*|a*,"positive example: [bb, abb, bba, abba, aabba, bbb, abbb, aabbb], negative example: [a, b, ab, ba, aab, aba, baa, baba]"
non isolated 'b',(a|(b*bb))*,(a*(bb*)*)*,"positive example: [a, aa, ab, abb, aab, aabb, aabbb, b, bb, bbb, abab, ababb], negative example: [c, ac, bc, abc, aac, bbc, abbc, aabc, abcc, abbbc]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b)|(((a|b)a*ba)*))*)?,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aba"", ""aab"", ""bab"", ""aaba"", ""abab"", ""baab"", ""baba"", ""aabab"", ""ababa"", ""baaba"", ""babaab""],  
negative example: ["""", ""c"", ""ac"", ""bc"", ""ca"", ""cb"", ""abc"", ""bac"", ""cba"", ""aac"", ""abbc"", ""baac"", ""babac""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b)+(a?))*)?,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aaa"", ""aab"", ""aba"", ""baa"", ""bab"", ""a"", ""b"", ""aaab"", ""baab"", ""aaba"", ""abaa"", ""baaab"", ""aabaa"", ""aabab"", ""baaba""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""bac"", ""aac"", ""bbc"", ""aabc"", ""abac"", ""baac"", ""bbac"", ""aaac"", ""aabbc"", ""ababc"", ""baabc"", ""aabac"", ""abaac"", ""baaac"", ""aababc"", ""abaabc""]"
At least one a followed by one b,a+b,a*b{1},"positive example: [ab, aab, aaab, b], negative example: [abb, aabb, bb, a, ba]"
non isolated 'b',(a|(b*bb))*,((a|b)|bb|(a|b))*,"positive example: [a, b, ab, ba, bb, aab, bba, abab, bbab], negative example: [c, aaac, bbbbc, abc, aabbc, abbc]"
At least one a followed by one b,a+b,(a|b)*(a)*b,"positive example: [ab, aab, bbbab, aaaaab, bab], negative example: [bba, aaa, bbaa, abba, baba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))*,"positive example: [""ab"", ""aab"", ""abab"", ""aabbb"", ""abbaab"", ""aaabaaab""],  
negative example: [""b"", ""ba"", ""aba"", ""aaba"", ""bab"", ""ababa""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*|(0|1)*|0*,"positive example: ["""", ""0"", ""00"", ""000"", ""01"", ""10"", ""001"", ""110"", ""0000"", ""1010""], negative example: [""2"", ""a"", ""01a"", ""b0"", ""1b"", ""00c"", ""d"", ""e01"", ""f0f"", ""g1""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*|0(1|0)*0?,"positive example: ["""", ""0"", ""00"", ""000"", ""01"", ""010"", ""0100"", ""0010"", ""00100""], negative example: [""1"", ""10"", ""101"", ""011"", ""1001"", ""1010"", ""110""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)*|b+aaa,"positive example: [ab, aab, bbb, baaa, aabb, bbaaa], negative example: [ba, aba, bbaa, aaab, baaaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa+,"positive example: [baaaa, aaa, baaaaa, aaaaaa, bbaaaa], negative example: [ab, baa, aab, ba, aabaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)*(aaa+)),"positive example: [aaa, baaa, aaaaa, bbaaaa, abbaaa], negative example: [aa, ab, ba, bb, aab]"
non isolated 'b',(a|(b*bb))*,(a|(b+(b)*))*,"positive example: [a, b, bb, ab, aab, bbb, abab, bba, aabb, abbb], negative example: [c, ac, bc, abc, aac, bbc, abbc, aabc, abcc, bbbc]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(11*0*)*|1*(00*1*)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""0110"", ""1001"", ""001100"", ""110011""],  
negative example: [""01"", ""10"", ""001"", ""110"", ""0101"", ""1010"", ""00101"", ""11010"", ""01010"", ""10101""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1+0*1*)*|(0+1*0*)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0000"", ""1111"", ""0101"", ""1010""],  
negative example: [""2"", ""01a"", ""10b"", ""0012"", ""110a"", ""a01"", ""b10"", ""012"", ""210"", ""a0b1""]"
Every b followed by two or more a's,(a|baa)*,a*((b+aa)*a*)*,"positive example: [""a"", ""aa"", ""b"", ""ab"", ""aab"", ""aaa"", ""ba"", ""bba"", ""aabaa"", ""abaa""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""baaac"", ""abac"", ""aabca"", ""abaca"", ""aabcc""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)+aaa+,"positive example: [aaaa, baaaa, aabaaaa, bbaaaaa], negative example: [a, b, aa, bb, aab, bba, aaa, bbb]"
even prefix,(ab|ba)*,(ab|ba)*(aa|ab|ba|bb)*,"positive example: [ab, ba, aa, abba, baba, aabb, bbaa, ababab, babaab, abbaaa], negative example: [a, b, aba, bab, aab, bba, abab, baba, aaab, bbba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*0*|(1*0*)*1*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""000"", ""111"", ""0101"", ""1010""],  
negative example: [""2"", ""012"", ""102"", ""0012"", ""1102"", ""0002"", ""1112"", ""0102"", ""1012"", ""2010""]"
At least one a followed by one b,a+b,(a)*(b),"positive example: [ab, aab, aaab, b], negative example: [ba, aba, a, bb, aaa]"
Every b followed by two or more a's,(a|baa)*,(((b*)(a)(a))*(a*))*,"positive example: [""baa"", ""baaaa"", ""baabaa"", ""aa"", ""a"", ""baaa"", ""baabaaa""],  
negative example: [""b"", ""bb"", ""bab"", ""aba"", ""ba"", ""bba"", ""ab""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|ab*|ba*|bb*)*aaaa*,"positive example: [""aaaa"", ""baaaa"", ""abbaaaa"", ""aabaaaa"", ""bbbaaaa""],  
negative example: [""aaa"", ""aba"", ""bbab"", ""aab"", ""bba""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|0+(1+0+)*|1+(0+1+)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""010"", ""101"", ""0010"", ""1101"", ""000111"", ""111000""],  
negative example: [""01"", ""10"", ""011"", ""100"", ""0101"", ""1010"", ""0011"", ""1100"", ""000011"", ""111100""]"
At least one a followed by one b,a+b,((a*)b)*,"positive example: [ab, aab, aaab, b, abab, aabaab], negative example: [ba, aba, a, aa, aaa, aabba]"
even prefix,(ab|ba)*,(ab|ba)*(a|b)*,"positive example: [ab, ba, a, b, abba, baba, aab, baa, abab, babaab], negative example: [abaab, bba, aabb, ababab, bbaa, aaabbb, ababba, babaaba]"
even prefix,(ab|ba)*,(a(a|b)|b(a|b))*,"positive example: [aa, ab, ba, bb, aaaa, abab, baba, bbbb, aabbaa, bbaabb], negative example: [a, b, aab, bba, aaaab, bbbba, abaab, babba]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][01]*[10]*,"positive example: [00, 01, 10, 11, 001, 010, 100, 110, 011, 101, 111, 0001, 0010, 0100, 1000, 1100, 1010, 0110, 0011, 0101, 1001, 1101, 1011, 0111, 1110, 1111],  
negative example: [0, 1, 000, 1111, 0000, 11111, 00000, 111111, 00111, 11000, 01010, 10101, 000011, 111100, 001100, 110011, 010101, 101010]"
Three Choices (Regex),001|1010|110,0*1*0*1*0*,"positive example: [""01010"", ""000111000"", ""111"", ""000"", ""0101010""], negative example: [""10101"", ""001100"", ""1100"", ""0011"", ""101010""]"
Odd number of 1s,0*10*(10*10*)*,[0-1][0-1]*,"positive example: [0, 1, 00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111],  
negative example: [2, 3, 12, 20, 21, 22, 123, 102, 120, 201, 210, 221]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),((0+1*)*0+)*|((1+0*)*1+)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0000"", ""1111"", ""01010"", ""10101""],  
negative example: [""2"", ""01a"", ""10b"", ""0012"", ""110a"", ""abc"", ""123"", ""a0b1"", ""1a0b"", ""0a1b""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*|aaa*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb, aaaa, aaab, aaba, aabb, abaa, abab, abba, abbb, baaa, baab, baba, babb, bbaa, bbab, bbba, bbbb],  
negative example: [c, ac, bc, aac, abc, bac, bbc, aacc, abcc, bacc, bbcc, aaaaac, aaaabc, aaabcc, aabacc, aabbcc, abaccc, abbccc, baaccc, babccc, bbaccc, bbbccc]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a?))*|((a|b)a*ba)*,"positive example: [aba, baba, aabba, abbaa, babaa], negative example: [a, b, aa, bb, abab]"
Odd number of 1s,0*10*(10*10*)*,(0|1(11)*)+,"positive example: [0, 1, 111, 0111, 111111, 10111], negative example: [00, 01, 10, 011, 110, 1110]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)+[ab]*b[ab]*,"positive example: [baabaaab, abbaaab, baaab, bbaaab, abbaab], negative example: [abab, baaa, baba, aabab, bbaa]"
Every b followed by two or more a's,(a|baa)*,(((b)*(a)(a))*(a*))*,"positive example: [""baa"", ""baaaa"", ""bbbaaa"", ""a"", ""aa"", ""aaa"", ""baaabaa""], negative example: [""b"", ""bb"", ""bbb"", ""ab"", ""bab"", ""baab"", ""baabab""]"
contains no 00 nor 11,1?(01)*0?,((0|1)|(1|0))*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""0101"", ""1010""],  
negative example: ["""", ""2"", ""00a"", ""11b"", ""abc"", ""0112"", ""1001a""]"
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*(bb)*)(ba*(bb)*)*a*,"positive example: [""a"", ""ba"", ""bba"", ""babba"", ""abba"", ""baabba"", ""bbba"", ""bababba"", ""ababba"", ""baaabba""],  
negative example: [""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""baa"", ""bab"", ""abab"", ""baaba"", ""bbaab""]"
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*|(0*10*10*),"positive example: [""0"", ""010"", ""01010"", ""00100"", ""010010"", ""000"", ""1010"", ""0010100""],  
negative example: [""1"", ""11"", ""101"", ""1001"", ""0101"", ""110"", ""10101"", ""001001""]"
even number of 1's,(0*10*10*)*|0*,0*(1+0*1+0*)*,"positive example: [""0"", ""1"", ""01"", ""001"", ""101"", ""0001"", ""0101"", ""00101"", ""000101""],  
negative example: ["""", ""2"", ""10"", ""11"", ""011"", ""110"", ""111"", ""0110"", ""1010""]"
Odd number of b's,(a*ba*b)*a*ba*,(b|a+|a*ba*(ba*ba*)*a*),"positive example: [""a"", ""aa"", ""aaa"", ""ba"", ""aba"", ""ababa"", ""aabaa"", ""aababaa""], negative example: [""b"", ""bb"", ""bab"", ""abab"", ""baba"", ""ababab"", ""aab"", ""aabb""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b*a*)*|baa|(b*a*)*|b|b*,"positive example: [b, a, ba, baa, bbb, aaa, bbaa, ab, bba, baba], negative example: [bbaaab, abab, bbaab, aabba, bbaaa, abbaa, abab, bbbaa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*((a|b)a*b)?,"positive example: [""aab"", ""baab"", ""aabaab"", ""baabab"", ""aabab"", ""baaab"", ""aabaaab"", ""baabaaab"", ""aaab"", ""baaabab""],  
negative example: [""abba"", ""baa"", ""a"", ""b"", ""aba"", ""bab"", ""aabba"", ""baaba"", ""abab"", ""bbaa""]"
At least one a followed by one b,a+b,(a|a*b),"positive example: [a, ab, aab, aaab, b], negative example: [ba, aba, aaba, bb, aaa]"
non isolated 'b',(a|(b*bb))*,(a|b+)*,"positive example: [a, b, ab, aab, bbb, aba, bbba, aaabbb], negative example: [c, ac, bc, abc, aabbc, ababababababc]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a|(ba)*b)*,"positive example: [ab, aba, abab, aab, aaba, aabab, b, ba, bab, baba, baa, baaa, baab, babaab],  
negative example: [aa, a, bb, bbb, abba, abbb, ababba, ababbb, bba, bbba, bbbaa, bbbab]"
At least one a followed by one b,a+b,(a|b)a*b,"positive example: [aab, ab, bab, aaaaab, baaaab], negative example: [aa, bb, a, b, aba]"
non isolated 'a',(b|(a*aa))*,(b*a*(aa)*b*)*,"positive example: ["""", ""b"", ""a"", ""aa"", ""ba"", ""ab"", ""bba"", ""aab"", ""baa"", ""baba"", ""aabb"", ""bbaa"", ""baab"", ""bbaabbaa""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bac"", ""bbac"", ""aabc"", ""baac"", ""bbaac"", ""aabbc"", ""bbaabc""]"
At least one a followed by one b,a+b,aa*b+,"positive example: [aab, aaab, aaaaab, aabb, aaabbb], negative example: [ab, a, b, aaa, bb]"
Odd number of b's,(a*ba*b)*a*ba*,(a|ba*)*ba*,"positive example: [ ""ba"", ""aba"", ""baa"", ""ababaa"", ""babaa"", ""aaba"" ], negative example: [ ""b"", ""aab"", ""bb"", ""a"", ""abab"", ""baba"" ]"
At least one a followed by one b,a+b,(a*)(b),"positive example: [ab, aab, aaab, b], negative example: [ba, aba, a, bb, aaa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a)*((a|b)a*b+)?,"positive example: [abba, aabba, babaabba, aaabba, ababba], negative example: [a, b, aba, baa, abab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((aa*ba?)|(ba*ba?))*,"positive example: [aaab, baba, aabab, baaab, aabbaaab], negative example: [aaa, bbb, abab, baaa, aabba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b)?)*,"positive example: [abba, aabba, baba, ababba, aaabba], negative example: [aba, bba, aabb, baaa, abab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b(a?))?)*,"positive example: [ab, aab, bba, aabb, abab, aabba, aabbba, baba, aaaabbba], negative example: [c, ac, bc, abc, aac, bbc, aabbc, ababc, aabbaa, aabbbaa]"
Odd number of b's,(a*ba*b)*a*ba*,a*b((ba*|a)*)a*,"positive example: [ab, aab, aabaa, aabbaa, aababaa], negative example: [b, ba, aba, aaba, aabba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*0|1*(10)*1)*,"positive example: [0, 1, 00, 11, 010, 101, 0010, 1101, 000, 111, 01010, 10101],  
negative example: [01, 10, 011, 100, 0011, 1100, 0101, 1010, 0001, 1110, 0110, 1001]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,((1*|0*)(0*1*)*(0*|1*))*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""000111"", ""111000"", ""010101"", ""101010""],  
negative example: [""2"", ""a"", ""01a"", ""1b0"", ""00112"", ""1100a"", ""000111b"", ""111000c"", ""010101d"", ""101010e""]"
At least one a followed by one b,a+b,a*(b),"positive example: [""b"", ""ab"", ""aab"", ""aaab""], negative example: ["""", ""a"", ""ba"", ""aba"", ""aaba""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*,"positive example:[00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111],  
negative example:[0, 1, 2, 3, 12, 20, 21, 22, 23, 123, 321, 0000]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(((01)(0|1)*(10))|((10)(0|1)*(01))|(010)*|(101)*)(0|1)*)|0*|1*,"positive example: [ ""010"", ""101"", ""00110"", ""11001"", ""010101"", ""101010"", ""0"", ""1"", ""000"", ""111"", ""001010"", ""110101"" ], negative example: [ ""011"", ""100"", ""0011"", ""1100"", ""0101"", ""1010"", ""0110"", ""1001"", ""00100"", ""11011"", ""0100"", ""1011"" ]"
Every b followed by two or more a's,(a|baa)*,(a|b)*((b)*(aa))*,"positive example: [ab, baa, aabaa, bbaa, abbaa], negative example: [a, b, aba, aab, bba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*(baa+)*a*b*)*b+,"positive example: [ ""abbaab"", ""bbbaaab"", ""aabbaaab"", ""abbb"", ""bbaabaaab"" ],  
negative example: [ ""abab"", ""aabab"", ""baabab"", ""bbaabab"", ""abbaabab"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(b*a*)*a*a*a,"positive example: [""aaa"", ""baaa"", ""bbbaaa"", ""baa"", ""a""], negative example: [""b"", ""bb"", ""bbb"", ""ab"", ""bba""]"
non isolated 'b',(a|(b*bb))*,(a|b|ba|ab|aba)*,"positive example: [a, b, ba, ab, aba, aaba, baba, abab, abaaba, abababa], negative example: [aa, bb, aab, bba, aabba, bbaab, abba, babaab, ababba, abaabba]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*,"positive example: [a, b, bab, abab, baba, aabab, babab, aa, bb, babaab], negative example: [c, ac, bc, abac, babaac, abca, babaac, abc, bac, abac]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)+,"positive example: [a, b, bab, abab, baba, aabab, babab, bbabab], negative example: [ab, ba, bba, aaba, abba, baaa, abbba]"
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ab+ba)*,"positive example: [ab, ba, aa, bb, abba, baaa, aabb, bbaa, abab, baba, abbaab, baabba],  
negative example: [a, b, aba, bab, aab, bba, ababab, bababa, abbba, baaba]"
At least one a followed by one b,a+b,(a|b)*(a)b,"positive example: [aab, baba, aaab, abab, bbaab], negative example: [abb, bba, aaa, bbb, abba]"
non isolated 'a',(b|(a*aa))*,b*|(a|b)*aa(a|b)*,"positive example: [""b"", ""bb"", ""aaa"", ""baa"", ""aabaa"", ""abbaa""], negative example: [""a"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab""]"
