shortdescription,regex,attemptregex
non isolated 'b',(a|(b*bb))*,a*(bb)*a*(bb)*a*
Odd number of b's,(a*ba*b)*a*ba*,[a]*b([a]*b[a]*b[a]*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)(a*bba*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0|1)*1|0(0|1)*0
At least one a followed by one b,a+b,(ab)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)
non isolated 'b',(a|(b*bb))*,(a)*bb(a)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*0+)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b)*a*
first and third,a(a|b)a(a|b)*,(aaa)+(aba)
even number of 1's,(0*10*10*)*|0*,(0*(11)*0*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)|((a|b)a*b)?
Every b followed by two or more a's,(a|baa)*,a*b(aa)|a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)a{3}
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)(aaa)+
Odd number of b's,(a*ba*b)*a*ba*,b(bb)*
Odd number of b's,(a*ba*b)*a*ba*,a*a(a*ba*ba*)*ba*
Every b followed by two or more a's,(a|baa)*,"a*b{1}a{2,}"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*a*(bb)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*(bb)*a*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)
non isolated 'b',(a|(b*bb))*,(a+bb)*
even prefix,(ab|ba)*,ba
non isolated 'b',(a|(b*bb))*,(bbb+a)*
Every b followed by two or more a's,(a|baa)*,baaa*
non isolated 'b',(a|(b*bb))*,((a*bbb*a*))*
even number of 1's,(0*10*10*)*|0*,(0*10*1)*0
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaaa*
Three Choices (Regex),001|1010|110,001|110
Odd number of b's,(a*ba*b)*a*ba*,a*b(a)*(bb)*a*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,b*a*a+
non isolated 'b',(a|(b*bb))*,a*b*bbb*a*|a*
Length 1 or More,(0|1)(0|1)*,(1|0)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(aaa+)
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0(1*0)*
non isolated 'b',(a|(b*bb))*,(a*b(b+)a*)*
Length 1 or More,(0|1)(0|1)*,0+1
Length 1 or More,(0|1)(0|1)*,(01)*(01)+
first and third,a(a|b)a(a|b)*,(aaa(a+b)*)|(aba(a+b)*)
Length 1 or More,(0|1)(0|1)*,(0|1)(0*|1*)
Odd number of 1s,0*10*(10*10*)*,(0*10*|(11)*1|1(11)*)
even number of 1's,(0*10*10*)*|0*,((0*10*1)*0)*
non isolated 'b',(a|(b*bb))*,(a?)*(bb)*(a?)*
Every b followed by two or more a's,(a|baa)*,(a)*|((b)(aa))*(a)*|((b)(aa))*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)*baa(b|a)b
Every b followed by two or more a's,(a|baa)*,"(a+b?a{2,})*"
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|0*(11)*(0*10*1(0*|11)*)0*|101101
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*ba*
even prefix,(ab|ba)*,(ba)*|(ab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|ba|aa|bb)+aaa
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)
even prefix,(ab|ba)*,(ab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|ab+|bb+|ba+)+aaa
first and third,a(a|b)a(a|b)*,(aaa|aba)(a+b)
Every b followed by two or more a's,(a|baa)*,a*|a*(baa+)
even number of 1's,(0*10*10*)*|0*,(((10*)1)*)0*
first and third,a(a|b)a(a|b)*,aaa+aba+a(a+b)*a(a+b)*
even number of 1's,(0*10*10*)*|0*,(0*|0*110*)+
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)ba)*(a|b)a*b)?
Every b followed by two or more a's,(a|baa)*,a*(baa)+a*
non isolated 'b',(a|(b*bb))*,(a*|(bb)*)*
non isolated 'b',(a|(b*bb))*,(a*bb+)*
Odd number of 1s,0*10*(10*10*)*,0*(111)0*
4 | #0,1*(01*01*01*01*)*,1*(1*01*01*01*0)*
even number of 1's,(0*10*10*)*|0*,11
non isolated 'b',(a|(b*bb))*,(a)*(a+bb)*(bbb)*(bb)*(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*a*b*)aaaa*
contains 'bab',(a|b)*(bab)(a|b)*,(bab)+(ab)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|((0+1+0+)*)|((1+0+1+)*)
non isolated 'b',(a|(b*bb))*,(a*bb*ba*)+(a*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01+0)*0*)|(1*(10+1)*1*)
non isolated 'b',(a|(b*bb))*,((a*)+(bbb*))*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*a*
Every b followed by two or more a's,(a|baa)*,(a*(b{1}aa+))
contains 'bab',(a|b)*(bab)(a|b)*,(bab)+
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b|ba)(a)*(bb)*(a)*
even number of 1's,(0*10*10*)*|0*,(0)*(11)*((01|10)(01|10))*(10+1)
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*a*(ba*b)*a*
even number of 1's,(0*10*10*)*|0*,(0*(10*1))*
even number of 1's,(0*10*10*)*|0*,0*1(0+1)
Every b followed by two or more a's,(a|baa)*,([a]*[b])?([a]{2}[a]*)
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)ba*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*(a|b)a*b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaa+
non isolated 'b',(a|(b*bb))*,(a)*(a+bb)*(bbb)*(a)*
Odd number of b's,(a*ba*b)*a*ba*,(b(bb)*)
non isolated 'b',(a|(b*bb))*,a*b*bbb*a*
An even number of 1's,(0|10*1)*,(0*10*10*)|0*|(11)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|(1+0*1+)*|(0+1*0+)*
even number of 1's,(0*10*10*)*|0*,(0*10*1)*|0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*
An even number of 1's,(0|10*1)*,0*(0*10*1)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)
Every b followed by two or more a's,(a|baa)*,(baa+)*
non isolated 'a',(b|(a*aa))*,(aa+)*
non isolated 'a',(b|(a*aa))*,(b*((aa)?))*
Odd number of b's,(a*ba*b)*a*ba*,ba*(bb|a)*|a*b(bb|a)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*((ab|ba|b)b)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a+b+aaa+
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)(a)*(bb)*(a)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|1*(101)*1*|(1001)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ba]*[b]+[a]+[a]+[b]+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)a*b+
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*)b*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)*a
contains 'bab',(a|b)*(bab)(a|b)*,(bab)+(a|b)*
non isolated 'b',(a|(b*bb))*,a*(bb*b)*a*
first and third,a(a|b)a(a|b)*,(aba(a+b)*)+aaa
Odd number of b's,(a*ba*b)*a*ba*,a+b(a*ba*b)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b+a+(b|a)*aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|1*(101)*1*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*baaa*bb*(a*bb*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*
Every b followed by two or more a's,(a|baa)*,a*(baa)
Every b followed by two or more a's,(a|baa)*,a*|baaa*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ab*)+(b+a+a)+(ab*)+(b)
An even number of 1's,(0|10*1)*,0*(10*1)*0*
even number of 1's,(0*10*10*)*|0*,(0*10*10*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)+b
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)
even number of 1's,(0*10*10*)*|0*,0*00*0*00
even number of 1's,0*(10*1)*0*,0*(101)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|bb)
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*b
abstar,ab*,ab
non isolated 'b',(a|(b*bb))*,(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)aaa+
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(a*ba*b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)+aaaa*
Every b followed by two or more a's,(a|baa)*,(a*ba{2}a*)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)
Every b followed by two or more a's,(a|baa)*,a+|(baa)+
An even number of 1's,(0|10*1)*,(0|(101)*)*
even number of 1's,(0*10*10*)*|0*,(0)*(10*1)*((01|10)(01|10))*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)b
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|ba*b)
first and third,a(a|b)a(a|b)*,(aaa+aba+a(a+b)*a)(a+b)*
non isolated 'b',(a|(b*bb))*,((a*))*
non isolated 'b',(a|(b*bb))*,a*(bbb*)*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)(baa)+b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)a
non isolated 'b',(a|(b*bb))*,(a+bbb*)
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)*|(bab)*)*b(a*|(bb)*|(bab)*)*
non isolated 'b',(a|(b*bb))*,a*(bb+|b+b)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)+)*b(bb)*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a+)*|(baa)*(a+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]{2}[a]*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)|bab)*b(a*|(bb)|bab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)+aaa
Odd number of 1s,0*10*(10*10*)*,(0*1(0*10*1))
non isolated 'b',(a|(b*bb))*,(a+(bb)*)*
Odd number of 1s,0*10*(10*10*)*,(0*10*)
Every b followed by two or more a's,(a|baa)*,a*(baa+)+a*
non isolated 'b',(a|(b*bb))*,(bb)*(a|bbb)*(bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*((a)*b(a)*b)*b(a)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+((10)*(01)*)0+
contains 'bab',(a|b)*(bab)(a|b)*,a*b*a*b*baba*b*a*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(aaa)
even prefix,(ab|ba)*,(ab)+|(ba)+
even number of 1's,(0*10*10*)*|0*,(0*10*10*)(10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*((ab|b)b)*a*
non isolated 'b',(a|(b*bb))*,(a*(bbb*)a*)*
contains no 00 nor 11,1?(01)*0?,(01)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),11
Odd number of b's,(a*ba*b)*a*ba*,(a|bab|bb)*b
non isolated 'b',(a|(b*bb))*,(a|bb)*
Odd number of b's,(a*ba*b)*a*ba*,b{1}
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab][ab]*(a)(a)(a)[a]
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b|a*ba))?
Every b followed by two or more a's,(a|baa)*,([a]*([b]{1}a{2}))
Every b followed by two or more a's,(a|baa)*,(a+)*(baa)*(a+)*(baa)*(a+)*
non isolated 'b',(a|(b*bb))*,(bbb*a*)*
non isolated 'b',(a|(b*bb))*,bbb*
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)a*(bb)*
Every b followed by two or more a's,(a|baa)*,a*baaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|(010)*
Every b followed by two or more a's,(a|baa)*,(a)*baa
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a)*(baa)
An even number of 1's,(0|10*1)*,(0*10*10*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1+(0+1+)*|0+(1+0+)
Odd number of b's,(a*ba*b)*a*ba*,b(bb|a)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*baa(a|b)*b+
first and third,a(a|b)a(a|b)*,aba|aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baab+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*(baa)*
Odd number of b's,(a*ba*b)*a*ba*,b(a*ba*b)*a
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa(a*|b*)aaa
Every b followed by two or more a's,(a|baa)*,((baa)*)|a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*((a|b)a*b))?
Length 1 or More,(0|1)(0|1)*,(01)+(01)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a+b+aa+b+
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*ba*
An even number of 1's,(0|10*1)*,0*(1(0*)1)*0*
even number of 1's,(0*10*10*)*|0*,0*|(0*10*1)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a)(b)(a)*(b)*(aaa+)
